,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
342,Tessalit,0,ML,1601601341,13,20.2,1.01,87.42,11.68
343,Nuuk,100,GL,1601601341,93,64.18,-51.72,42.8,14.99
344,Karibib,0,NA,1601601341,74,-21.93,15.83,41.72,1.79
345,Turaif,40,SA,1601601307,43,31.67,38.66,71.6,10.29
346,Dukat,0,RU,1601601342,69,62.55,155.55,36.41,2.3
347,Meulaboh,99,ID,1601601342,87,4.14,96.13,78.06,3.58
348,Mananara,59,MG,1601601343,91,-16.17,49.77,69.82,1.74
349,Ţaga,75,RO,1601601343,93,46.95,24.05,54.0,2.24
350,Banda Aceh,100,ID,1601601343,75,5.56,95.32,81.79,10.4
351,Zhigansk,100,RU,1601601343,92,66.77,123.37,31.37,13.96
352,Kurumkan,100,RU,1601601344,81,54.3,110.3,35.29,0.2
353,Coquimbo,0,CL,1601601344,81,-29.95,-71.34,53.6,6.93
354,College,40,US,1601601344,25,64.86,-147.8,66.2,8.05
355,Boa Vista,86,BR,1601601344,62,2.82,-60.67,86.0,6.93
356,Hūn,0,LY,1601601345,35,29.13,15.95,79.43,9.06
357,Hauterive,100,FR,1601601345,66,46.09,3.45,55.4,14.99
358,Ukiah,1,US,1601601345,11,39.15,-123.21,96.8,8.05
359,Mareeba,3,AU,1601601345,48,-17.0,145.43,84.99,8.99
360,Dāmghān,0,IR,1601601346,49,36.17,54.35,52.68,0.34
361,Otjimbingwe,0,NA,1601601346,70,-22.35,16.13,43.95,0.09
362,Hamilton,40,US,1601601048,47,39.18,-84.53,57.2,17.22
363,Bubaque,100,GW,1601601346,82,11.28,-15.83,81.16,10.18
364,Vulcan,100,RO,1601601347,85,45.38,23.27,48.42,1.95
365,Angoche,4,MZ,1601601347,93,-16.23,39.91,71.55,4.16
366,Vestmannaeyjar,0,IS,1601601347,71,63.44,-20.27,44.74,5.08
367,Neyshabur,0,IR,1601601347,41,36.21,58.8,52.18,0.78
368,Tigil',60,RU,1601601348,68,57.8,158.67,50.22,9.66
369,Martapura,20,ID,1601601348,79,-3.42,114.85,84.2,3.36
370,Salalah,75,OM,1601601325,83,17.02,54.09,75.2,2.24
